         5962 function calls (5885 primitive calls) in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.000    0.000 profile:0(<code object <module> at 0x0000020064A90D40, file ".\app.py", line 1>)
      4/1    0.000    0.000    0.000    0.000 :0(exec)
        1    0.000    0.000    0.000    0.000 app.py:1(<module>)
     14/3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       69    0.000    0.000    0.000    0.000 :0(acquire_lock)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       28    0.000    0.000    0.000    0.000 :0(allocate_lock)
       69    0.000    0.000    0.000    0.000 :0(release_lock)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       30    0.000    0.000    0.000    0.000 :0(get_ident)
      119    0.000    0.000    0.000    0.000 :0(get)
     14/3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       73    0.000    0.000    0.000    0.000 :0(rpartition)
     26/7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      3/2    0.000    0.000    0.000    0.000 :0(__import__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        4    0.000    0.000    0.000    0.000 :0(is_builtin)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       13    0.000    0.000    0.000    0.000 :0(is_frozen)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      461    0.000    0.000    0.000    0.000 :0(isinstance)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        3    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       37    0.000    0.000    0.000    0.000 :0(replace)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       72    0.000    0.000    0.000    0.000 :0(stat)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
       13    0.000    0.000    0.000    0.000 :0(extend)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
       16    0.000    0.000    0.000    0.000 :0(_path_splitroot)
      441    0.000    0.000    0.000    0.000 :0(len)
        1    0.000    0.000    0.000    0.000 :0(getcwd)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      295    0.000    0.000    0.000    0.000 :0(startswith)
      450    0.000    0.000    0.000    0.000 :0(endswith)
      410    0.000    0.000    0.000    0.000 :0(rstrip)
      279    0.000    0.000    0.000    0.000 :0(append)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
      140    0.000    0.000    0.000    0.000 :0(join)
      241    0.000    0.000    0.000    0.000 :0(hasattr)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        3    0.000    0.000    0.000    0.000 :0(listdir)
       99    0.000    0.000    0.000    0.000 :0(partition)
      189    0.000    0.000    0.000    0.000 :0(lower)
       93    0.000    0.000    0.000    0.000 :0(format)
       99    0.000    0.000    0.000    0.000 :0(add)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1578(<setcomp>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       47    0.000    0.000    0.000    0.000 :0(fspath)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
     13/4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:650(_load_unlocked)
     13/5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      161    0.000    0.000    0.000    0.000 :0(getattr)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        7    0.000    0.000    0.000    0.000 :0(max)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       14    0.000    0.000    0.000    0.000 :0(rfind)
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:842(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        4    0.000    0.000    0.000    0.000 :0(open_code)
        4    0.000    0.000    0.000    0.000 :0(read)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        8    0.000    0.000    0.000    0.000 :0(from_bytes)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 :0(loads)
        2    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:20(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:503(extend_path)
        8    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        8    0.000    0.000    0.000    0.000 ntpath.py:77(join)
       18    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       10    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 __init__.py:23(find_qt)
        2    0.000    0.000    0.000    0.000 ntpath.py:221(dirname)
        2    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        2    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        2    0.000    0.000    0.000    0.000 os.py:740(encodekey)
        3    0.000    0.000    0.000    0.000 os.py:734(check_str)
        2    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(S_ISREG)
        1    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 :0(putenv)
        1    0.000    0.000    0.000    0.000 os.py:1098(add_dll_directory)
        1    0.000    0.000    0.000    0.000 :0(_add_dll_directory)
        1    0.000    0.000    0.000    0.000 os.py:1082(__init__)
       21    0.000    0.000    0.000    0.000 :0(pop)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      9/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
      9/2    0.000    0.000    0.000    0.000 :0(create_dynamic)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.000    0.000 :0(create_builtin)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        1    0.000    0.000    0.000    0.000 :0(exec_builtin)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        9    0.000    0.000    0.000    0.000 :0(exec_dynamic)
       59    0.000    0.000    0.000    0.000 :0(setattr)
        5    0.000    0.000    0.000    0.000 enum.py:313(__call__)
        5    0.000    0.000    0.000    0.000 enum.py:430(_create_)
       15    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       40    0.000    0.000    0.000    0.000 :0(issubclass)
       15    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
        5    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        5    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        5    0.000    0.000    0.000    0.000 enum.py:68(__init__)
       55    0.000    0.000    0.000    0.000 enum.py:75(__setitem__)
       55    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       55    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       45    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        5    0.000    0.000    0.000    0.000 enum.py:157(__new__)
        5    0.000    0.000    0.000    0.000 :0(setdefault)
        5    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        5    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
        5    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       50    0.000    0.000    0.000    0.000 :0(__new__)
       85    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
        5    0.000    0.000    0.000    0.000 :0(mro)
        5    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
       60    0.000    0.000    0.000    0.000 :0(items)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:906(source_to_code)
        1    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_code_to_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
        3    0.000    0.000    0.000    0.000 :0(to_bytes)
        1    0.000    0.000    0.000    0.000 :0(dumps)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:496(_calc_mode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1085(set_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
        1    0.000    0.000    0.000    0.000 :0(id)
        1    0.000    0.000    0.000    0.000 :0(open)
        1    0.000    0.000    0.000    0.000 :0(write)
        1    0.000    0.000    0.000    0.000 feeds.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 :0(setprofile)


